,Test,Price,
1,URINE EXAMINATION,150,
2,.VISIT,50,
3,0CAMP,50,
4,17 Hydroxy PROGESTERON,1000,
5,24 hour Urinary Phosphorus,300,
6,24 Hr Urinary Creatinine,250,
7,24 Hr Urinary K,250,
8,24 Hr Urinary URIC ACID,250,
9,24 Urinary Calcium,300,
10,24 Urinary Cortisol,700,
11,24 Urinary Protine,250,
12,24 URINE METANEPHRINE,3000,
13,24 URINE VMA,2000,
14,ABG,1200,
15,ACE,1400,
16,ACETONE,250,
17,ACh RECEPTOR ANTIBODY LEVEL,4000,
18,ACID PHOSPHATASE,500,
19,"ACTH, Plasma",1100,
20,ADA,600,
21,AEC,150,
22,AFB,200,
23,AFB 3 Days,600,
24,AFP,600,
25,ALBUMIN,200,
26,Aldosterone,2500,
27,ALFA FETO PROTIN,600,
28,ALKALINE PHOSPHATASE,200,
29,Allergic Screening Drugs,2000,
30,Allergic Screening Inhalant,1500,
31,Allergic Screening Non-veg Food,1200,
32,Allergic Screening VEG Food,1800,
33,Allergic Screening Veg Food + Inhalant,2200,
34,Allergic Screening Veg Food + Inhalant + nonveg food,3200,
35,AMA (Anti Mitochondrial Antibody),1500,
36,AMMONIA,600,
37,AMYLASE,500,
38,AMYLASE (Fluid),550,
39,ANA BY ELISA,800,
40,ANA BY IF,800,
41,ANA Profile(Blot),3500,
42,ANCA IF,2500,
43,ANCA-C,1800,
44,ANCA-P,1800,
45,Ante natal Profile (Mauli Hospital),400,
46,Ante natal Profile G,600,
47,Ante-natal Profile Dr Hina Jayesh Patel,400,
48,Ante-natal Profile Dr Janviben,350,
49,Anti B2-Glycoprotein I (IgG) Ab,750,
50,Anti B2-Glycoprotein I (IgM) Ab,750,
51,Anti Borrelia IgG & IgM,3500,
52,ANTI CARDIOLIPIN IgG,550,
53,ANTI CARDIOLIPIN IgM,550,
54,ANTI DS DNA ELISA,800,
55,Anti Gliadin IgA,2000,
56,Anti Gliadin IgA & IgG,3500,
57,ANTI HBc Total,800,
58,ANTI HBcAg-IgM,800,
59,Anti HbS,800,
60,Anti Mullerian Hormone,1500,
61,Anti Phspholipid antibody IgG,550,
62,Anti Phspholipid antibody IgM,550,
63,Anti SMA (Smooth Muscle Antibody),1500,
64,Anti Sperm Antibody,900,
65,ANTI THROMBIN III,2000,
66,Anti Thyroglobulin Antibody,600,
67,ANTI TPO Ab,600,
68,ANTICCP,1000,
69,APOLIPOPROTEIN A 1,500,
70,APTT,450,
71,ARTHRITIC PROFILE,600,
72,ASCA(Anti Saccharomyces Cervislae) IgA,2100,
73,ASCA(Anti Saccharomyces Cervislae) IgG,2100,
74,ASCITIC FLUID,600,
75,ASMA (Anti smooth muscle antibody),1500,
76,ASO,500,
77,"Aspergillus (Galactomannan) Antigen, Serum",1500,
78,autoimmune encephalitis panel,17000,
79,B HCG,500,
80,B1 VITAMIN,4000,
81,B12 LEVEL,800,
82,B6 VITAMIN,4000,
83,BATECT TB CULTURE,1200,
84,BCU (Dr Devang Shah),600,
85,Beta D Glucan,5500,
86,Bicarbonate (HCO3),1000,
87,BILIRUBIN,200,
88,BIOPSY,1200,
89,Biospy slide Review,,
90,BLOOD CS BATECT/ALERT,1200,
91,BLOOD CS BATECT/ALERT 3 SMP 1/2 HR APART,3600,
92,BLOOD CS BATECT/ALERT ANAEROBIC,1200,
93,BLOOD GAS,1000,
94,Blood pH,800,
95,BNP (Beta type Natriuretic Peptide),2000,
96,BRUCELLA Ab(IgG & IgM),1250,
97,Brucellosis,900,
98,BT CT,150,
99,C 3,600,
100,C 4,600,
101,C PEPTIDE,1200,
102,C PEPTIDE PP,1200,
103,C/S Sputum,750,
104,CA 125,800,
105,CA 15.3,1200,
106,CA 19.9,1200,
107,Calcitonin,1200,
108,CALCIUM,250,
109,Cardiac Profile,2000,
110,CBC,300,
111,CBC ESR,400,
112,CD4 CD8 Count,2000,
113,CEA,700,
114,Ceruloplasmin(Copper Oxidase),800,
115,Chikungunya IgG,700,
